ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
69,CENTRAL DE CATERING PACEÑO,"CENTRAL DE CATERING PACEÑO, La Paz, La Paz, Bolivia",Catering Corporativo,La Paz,La Paz
70,NUTRIALIMENTOS CATERING,"NUTRIALIMENTOS CATERING, La Paz, La Paz, Bolivia",Catering Educativo/Saludable,La Paz,La Paz
71,HOTEL PRESIDENTE,"HOTEL PRESIDENTE, c. Potosí N° 920, Centro, La Paz, Bolivia",Hotel 5★ con Restaurante y Banquetes,Centro,La Paz
72,CASA GRANDE HOTEL,"CASA GRANDE HOTEL, Calle 16 N° 8009, Calacoto, La Paz, Bolivia",Hotel 5★ con Restaurante y Banquetes,Calacoto,La Paz
73,ATIX HOTEL,"ATIX HOTEL, Calle 16 N° 8052, Calacoto, La Paz, Bolivia",Hotel Boutique 5★ – Restaurante,Calacoto,La Paz
74,SUITES CAMINO REAL,"SUITES CAMINO REAL, Av. Ballivián N° 369, Calle 10, Calacoto, La Paz, Bolivia",Hotel 5★ con Restaurante y Convenciones,Calacoto,La Paz
75,EL REY PALACE HOTEL,"EL REY PALACE HOTEL, Av. 20 de Octubre N° 1947, Sopocachi, La Paz, Bolivia",Hotel con Restaurante,Sopocachi,La Paz
76,CAMINO REAL APART HOTEL & SPA,"CAMINO REAL APART HOTEL & SPA, c. Capitán Ravelo N° 2123, Sopocachi, La Paz, Bolivia",Hotel con Restaurante,Sopocachi,La Paz
77,RITZ APART HOTEL,"RITZ APART HOTEL, Plaza Isabel La Católica N° 2478, Sopocachi, La Paz, Bolivia",Hotel con Restaurante,Sopocachi,La Paz
78,MET HOTEL,"MET HOTEL, Av. Fuerza Naval N° 1626, Calacoto, La Paz, Bolivia",Hotel Boutique con Restaurante,Calacoto,La Paz
79,HOTEL CALACOTO,"HOTEL CALACOTO, Calle 13 N° 8008, Calacoto, La Paz, Bolivia",Hotel 4★ con Restaurante,Calacoto,La Paz
80,HOTEL EUROPA – LA PAZ,"HOTEL EUROPA – LA PAZ, Calle Tiwanaku N° 64, Centro, La Paz, Bolivia",Hotel 4★ con Restaurante,Centro,La Paz
81,HOTEL GLORIA LA PAZ,"HOTEL GLORIA LA PAZ, Calle Potosí N° 909, Centro, La Paz, Bolivia",Hotel con Restaurante y Convenciones,Centro,La Paz
