ID,Nombre,Buscar_en_Google,Rubro,Zona,Ciudad
168,CINNABON BOLIVIA,"CINNABON BOLIVIA, La Paz, Zona Sur / Megacenter, La Paz, Bolivia",Cadena Internacional – Repostería,Zona Sur / Megacenter,La Paz
169,COCOLATTE – CAFETERÍA Y HELADERÍA,"COCOLATTE – CAFETERÍA Y HELADERÍA, La Paz, La Paz, Bolivia",Cafetería-Heladería,La Paz,La Paz
171,GUSTO BOLIVIA – CADENA GASTRONÓMICA,"GUSTO BOLIVIA – CADENA GASTRONÓMICA, La Paz, La Paz, Bolivia",Cadena de Restaurantes,La Paz,La Paz
172,BITS & CREAM – HELADERÍA,"BITS & CREAM – HELADERÍA, La Paz, Calacoto, La Paz, Bolivia",Heladería-Cadena,Calacoto,La Paz
174,ALABAMA CHICKEN – CADENA,"ALABAMA CHICKEN – CADENA, La Paz, La Paz, Bolivia",Cadena de Pollo,La Paz,La Paz
175,BENDITA BURGER – CADENA,"BENDITA BURGER – CADENA, La Paz, Sopocachi / Calacoto, La Paz, Bolivia",Cadena de Hamburguesas,Sopocachi / Calacoto,La Paz
176,CHURRASQUERÍA WALIKI,"CHURRASQUERÍA WALIKI, La Paz, La Paz, Bolivia",Restaurante Parrilla,La Paz,La Paz
177,BAHREM PIZZERÍA – CADENA,"BAHREM PIZZERÍA – CADENA, La Paz, La Paz, Bolivia",Cadena de Pizzería,La Paz,La Paz
178,AVE PIZZA – CADENA,"AVE PIZZA – CADENA, La Paz, La Paz, Bolivia",Cadena de Pizzería,La Paz,La Paz
179,BEATRICE PASTAS – CADENA,"BEATRICE PASTAS – CADENA, La Paz, Sopocachi / Miraflores, La Paz, Bolivia",Cadena de Pastas,Sopocachi / Miraflores,La Paz
180,CHIFA TANG – CADENA CHINA,"CHIFA TANG – CADENA CHINA, La Paz, La Paz, Bolivia",Cadena de Comida China,La Paz,La Paz
181,BROASTERÍA ANITA – CADENA,"BROASTERÍA ANITA – CADENA, La Paz, El Alto / La Paz, El Alto, Bolivia",Cadena de Broaster y Pollo,El Alto / La Paz,El Alto
182,POLLO COPACABANA – EL ALTO (SUCURSAL),"POLLO COPACABANA – EL ALTO (SUCURSAL), Ciudad Satélite / El Alto, El Alto, Bolivia",Cadena de Restaurantes,El Alto,El Alto
183,HOTEL TORINO – LA PAZ,"HOTEL TORINO – LA PAZ, Calle Socabaya N° 457, Centro, La Paz, Bolivia",Hotel 3★ con Restaurante,Centro,La Paz
184,HOTEL NAYJAMA,"HOTEL NAYJAMA, Calle Sagárnaga N° 161, Centro, La Paz, Bolivia",Hotel con Restaurante,Centro,La Paz
185,HOTEL CONTINENTAL – LA PAZ,"HOTEL CONTINENTAL – LA PAZ, Illampu N° 626, Centro, La Paz, Bolivia",Hotel con Restaurante,Centro,La Paz
186,RESTAURANTE GUSTU – ALTA COCINA,"RESTAURANTE GUSTU – ALTA COCINA, Calle 10 N° 300, Calacoto, La Paz, Bolivia",Restaurante Gourmet,Calacoto,La Paz
187,CLÍNICA INCOR – LA PAZ,"CLÍNICA INCOR – LA PAZ, La Paz, Sopocachi, La Paz, Bolivia",Clínica Cardiológica con Cocina,Sopocachi,La Paz
188,HOSPITAL ARCO IRIS – LA PAZ,"HOSPITAL ARCO IRIS – LA PAZ, La Paz, Miraflores, La Paz, Bolivia",Hospital Privado con Cocina,Miraflores,La Paz
189,COLEGIO JUAN PABLO II – EL ALTO,"COLEGIO JUAN PABLO II – EL ALTO, El Alto, Ciudad Satélite, El Alto, Bolivia",Colegio Privado con Cafetería,Ciudad Satélite,El Alto
190,COLEGIO ADVENTISTA EL MENSAJERO,"COLEGIO ADVENTISTA EL MENSAJERO, La Paz / El Alto, Varias zonas, La Paz, Bolivia",Colegio con Comedor,Varias zonas,La Paz
191,EMPRESA BOLIVIANA DE ALIMENTOS EBA,"EMPRESA BOLIVIANA DE ALIMENTOS EBA, La Paz, La Paz, Bolivia",Industria Alimenticia,La Paz,La Paz
192,DON PIOTR – EMBUTIDOS,"DON PIOTR – EMBUTIDOS, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
193,INDUSTRIA PANIFICADORA EL PAN CASERO,"INDUSTRIA PANIFICADORA EL PAN CASERO, La Paz, La Paz, Bolivia",Panificadora,La Paz,La Paz
194,INDUSTRIAS ALIMENTICIAS SAN LUIS,"INDUSTRIAS ALIMENTICIAS SAN LUIS, La Paz, La Paz, Bolivia",Industria Alimenticia,La Paz,La Paz
195,MAXINN – ACHO DE SANCHEZ YOLA,"MAXINN – ACHO DE SANCHEZ YOLA, El Alto, El Alto, Bolivia",Embutidos,El Alto,El Alto
196,NUEVA PACEÑA – EMBUTIDOS,"NUEVA PACEÑA – EMBUTIDOS, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
197,SERVICIOS ALIMENTARIOS CORPORATIVOS SRL,"SERVICIOS ALIMENTARIOS CORPORATIVOS SRL, La Paz, La Paz, Bolivia",Catering Corporativo,La Paz,La Paz
198,TORINO PIZZA & PASTA,"TORINO PIZZA & PASTA, La Paz, Sopocachi / San Miguel, La Paz, Bolivia",Restaurante Italiano / Cadena,Sopocachi / San Miguel,La Paz
199,CERVECERÍA BOLIVIANA NACIONAL – RESTAURANTE,"CERVECERÍA BOLIVIANA NACIONAL – RESTAURANTE, Av. Montes, Centro, La Paz, Bolivia",Restaurante Industrial,Centro,La Paz
200,COMEDOR INDUSTRIAL ENAF / YPFB,"COMEDOR INDUSTRIAL ENAF / YPFB, El Alto, El Alto, Bolivia",Comedor Industrial,El Alto,El Alto
201,FRIGORÍFICO PACEÑO SRL,"FRIGORÍFICO PACEÑO SRL, La Paz, Norte, La Paz, Bolivia",Frigorífico y Cárnicos,Norte,La Paz
202,PROCABOL – FLORES RODRÍGUEZ WINSTON,"PROCABOL – FLORES RODRÍGUEZ WINSTON, La Paz, La Paz, Bolivia",Embutidos,La Paz,La Paz
203,CHOCOLATERÍA BONBONNIERE – LA PAZ,"CHOCOLATERÍA BONBONNIERE – LA PAZ, La Paz, Calacoto, La Paz, Bolivia",Chocolatería y Repostería,Calacoto,La Paz
204,DISTRIBUIDORA PÉREZ & ASOCIADOS,"DISTRIBUIDORA PÉREZ & ASOCIADOS, La Paz, La Paz, Bolivia",Distribuidora de Alimentos,La Paz,La Paz
205,CHILAQUIL – RESTAURANTE MEXICANO CADENA,"CHILAQUIL – RESTAURANTE MEXICANO CADENA, La Paz, La Paz, Bolivia",Restaurante Mexicano,La Paz,La Paz
206,LA CASA DEL CAMBA – EL BOSQUE,"LA CASA DEL CAMBA – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto entre Sánchez Bustamante y Julio Patiño, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Comida Camba / Parrilla,Calacoto - El Bosque,La Paz
207,ROSMARINO – EL BOSQUE,"ROSMARINO – EL BOSQUE, El Bosque Boulevard, entre Calles 14 y 15, Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Italiano,Calacoto - El Bosque,La Paz
208,SACHA – EL BOSQUE,"SACHA – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Cocina de Autor,Calacoto - El Bosque,La Paz
209,BOTÁNICA – EL BOSQUE,"BOTÁNICA – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Contemporáneo,Calacoto - El Bosque,La Paz
210,TAKUMI – EL BOSQUE,"TAKUMI – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Japonés / Sushi,Calacoto - El Bosque,La Paz
211,TACOBAR TOWN – EL BOSQUE,"TACOBAR TOWN – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Mexicano,Calacoto - El Bosque,La Paz
212,MANQ'A – EL BOSQUE,"MANQ'A – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Cocina Boliviana,Calacoto - El Bosque,La Paz
213,PROST – BEER GARDEN EL BOSQUE,"PROST – BEER GARDEN EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Restaurante – Chopería / Alemana,Calacoto - El Bosque,La Paz
214,OH MY DOG & FRIES – EL BOSQUE,"OH MY DOG & FRIES – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Comida Rápida – Hot Dogs,Calacoto - El Bosque,La Paz
215,VAINILLA CAFÉ – EL BOSQUE,"VAINILLA CAFÉ – EL BOSQUE, El Bosque Boulevard, Calle 15 Calacoto, Calacoto - El Bosque, La Paz, Bolivia",Cafetería – Repostería,Calacoto - El Bosque,La Paz
216,TYPICA CAFÉ – EL BOSQUE,"TYPICA CAFÉ – EL BOSQUE, Cadena 8 sucursales LP: San Miguel, Sopocachi, Achumani, Centro (Batallón Colorados Ed. Tres Cruces N°40), Boulevard El Bosque, Obrajes, Satélite El Alto, Calacoto - El Bosque, La Paz, Bolivia",Cafetería de Especialidad,Calacoto - El Bosque,La Paz
217,ALI PACHA – ALTA COCINA VEGANA,"ALI PACHA – ALTA COCINA VEGANA, Calle Colón N° 1306 esq. Potosí, Centro, La Paz, Bolivia",Restaurante – Alta Cocina Vegana,Centro,La Paz
218,POPULAR COCINA BOLIVIANA,"POPULAR COCINA BOLIVIANA, Calle Murillo N° 826, Centro, La Paz, Bolivia",Restaurante – Cocina Boliviana Contemporánea,Centro,La Paz
219,ANCESTRAL RESTAURANTE – PARRILLA,"ANCESTRAL RESTAURANTE – PARRILLA, Calle 10 de Achumani, María F. Goya N° 135, Achumani, La Paz, Bolivia",Restaurante – Parrilla de Autor,Achumani,La Paz
220,ARAMI – SUSHI FUSIÓN,"ARAMI – SUSHI FUSIÓN, Av. El Aviador N° 77, Zona Sur, La Paz, Bolivia",Restaurante – Japonés Fusión,Zona Sur,La Paz
221,PHAYAWI – COCINA TAILANDESA,"PHAYAWI – COCINA TAILANDESA, Calle 22 de Achumani, Achumani, La Paz, Bolivia",Restaurante – Tailandés,Achumani,La Paz
222,IMILLA ALZADA – PIZZERÍA ARTESANAL,"IMILLA ALZADA – PIZZERÍA ARTESANAL, Calle Álvarez Plata N° 50, Cota Cota, Cota Cota, La Paz, Bolivia",Restaurante – Pizzería Artesanal,Cota Cota,La Paz
223,MI CHOLA – COCINA CONTEMPORÁNEA,"MI CHOLA – COCINA CONTEMPORÁNEA, Av. Ecuador, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Boliviano Contemporáneo,Sopocachi,La Paz
224,LA RUFINA BOLIVIA,"LA RUFINA BOLIVIA, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Cocina Latina,Sopocachi,La Paz
225,TERRA RESTAURANT,"TERRA RESTAURANT, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Internacional Fusión,Zona Sur,La Paz
226,EL BESTIARIO – CARNES AHUMADAS,"EL BESTIARIO – CARNES AHUMADAS, Calle Aspiazu N° 426, Sopocachi, La Paz, Bolivia",Restaurante – Ahumados / Internacional,Sopocachi,La Paz
227,LA TRANQUERA – PARRILLA,"LA TRANQUERA – PARRILLA, Calle Capitán Ravelo N° 2123 (suc. Zona Sur), Sopocachi / Zona Sur, La Paz, Bolivia",Restaurante – Parrilla / Churrasquería,Sopocachi / Zona Sur,La Paz
228,CHURRASQUERÍA EL ARRIERO,"CHURRASQUERÍA EL ARRIERO, Av. 6 de Agosto N° 2535 (suc. Zona Sur: Av. Montenegro), Sopocachi / Calacoto, La Paz, Bolivia",Restaurante – Churrasquería Argentina,Sopocachi / Calacoto,La Paz
229,SABOR GAUCHO – PARRILLA ARGENTINA,"SABOR GAUCHO – PARRILLA ARGENTINA, Calle Fernando Guachalla N° 319, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Parrilla Argentina,Sopocachi,La Paz
230,PUERTO MADERO – PARRILLA,"PUERTO MADERO – PARRILLA, Av. Ballivián, Calacoto, Calacoto, La Paz, Bolivia",Restaurante – Parrilla,Calacoto,La Paz
231,EL QUEBRACHO – CHURRASQUERÍA,"EL QUEBRACHO – CHURRASQUERÍA, Miraflores, Miraflores, La Paz, Bolivia",Restaurante – Churrasquería,Miraflores,La Paz
232,LAS BRASAS DEL TORO,"LAS BRASAS DEL TORO, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Parrilla,Sopocachi,La Paz
233,CHURRASQUERÍA SAN MARCO,"CHURRASQUERÍA SAN MARCO, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Churrasquería,San Miguel,La Paz
234,EL FOGONCITO DE MIKY,"EL FOGONCITO DE MIKY, Calle Gabriel René Moreno N° 1187, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Parrilla,San Miguel,La Paz
235,TINTO – CARNES ARGENTINAS,"TINTO – CARNES ARGENTINAS, Calle 9 de Calacoto N° 5, Calacoto, La Paz, Bolivia",Restaurante – Parrilla Premium,Calacoto,La Paz
236,THE STEAKHOUSE,"THE STEAKHOUSE, Calle Enrique Peñaranda, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Steakhouse,San Miguel,La Paz
237,ASAU – PARRILLA BBQ,"ASAU – PARRILLA BBQ, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Parrilla / BBQ,Zona Sur,La Paz
238,BRAS BROS – PARRILLA,"BRAS BROS – PARRILLA, Av. Simón Bolívar N° 1534, Centro, La Paz, Bolivia",Restaurante – Parrilla / Grill,Centro,La Paz
239,EL POLLIN,"EL POLLIN, Av. Simón Bolívar N° 1574, Centro, La Paz, Bolivia",Restaurante – Pollos y Parrilla,Centro,La Paz
240,COZZOLISI PIZZA & PASTA,"COZZOLISI PIZZA & PASTA, Av. Enrique Peñaranda Bloque L N° 33, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Pizzería (3 sucursales),San Miguel,La Paz
241,PIZZA NOSTRA,"PIZZA NOSTRA, Av. Mariscal Montenegro N° 945, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Pizzería (4 sucursales),San Miguel,La Paz
242,MOZZARELLA PIZZA,"MOZZARELLA PIZZA, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Pizzería,Zona Sur,La Paz
243,PIZZERIA BELLA CIAO,"PIZZERIA BELLA CIAO, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Pizzería,Sopocachi,La Paz
244,EFÍMERA – PIZZERÍA ARTESANAL,"EFÍMERA – PIZZERÍA ARTESANAL, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Pizzería Artesanal,Sopocachi,La Paz
245,LONDON PIZZERÍA PASTELERÍA,"LONDON PIZZERÍA PASTELERÍA, Av. Esteban Arce N° 1828, San Pedro, La Paz, Bolivia",Restaurante – Pizzería y Pastelería,San Pedro,La Paz
246,TUTTO PASTA,"TUTTO PASTA, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Italiano,Zona Sur,La Paz
247,FELLINI – RISTORANTE,"FELLINI – RISTORANTE, Calle Gabriel René Moreno N° 1383, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Italiano,San Miguel,La Paz
248,PRONTO DALICATESSEN,"PRONTO DALICATESSEN, Pasaje Jáuregui N° 2248, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Italiano,Sopocachi,La Paz
249,PROPIEDAD PÚBLICA – ITALIANO,"PROPIEDAD PÚBLICA – ITALIANO, Calle Enrique Peñaranda, San Miguel, San Miguel, La Paz, Bolivia",Restaurante – Italiano Contemporáneo,San Miguel,La Paz
250,JARDÍN DE ASIA – LA PAZ,"JARDÍN DE ASIA – LA PAZ, Calle 13 de Calacoto esq. Av. Julio C. Patiño, Calacoto, La Paz, Bolivia",Restaurante – Asiático Fusión,Calacoto,La Paz
251,NEW SAKURA – JAPONÉS,"NEW SAKURA – JAPONÉS, Calle Julio Patiño N° 668, Calacoto, Calacoto, La Paz, Bolivia",Restaurante – Japonés,Calacoto,La Paz
252,FURUSATO – JAPONÉS,"FURUSATO – JAPONÉS, Av. Clemente Inofuentes esq. Calle 11, Calacoto, Calacoto, La Paz, Bolivia",Restaurante – Japonés,Calacoto,La Paz
253,KEN CHAN – JAPONÉS,"KEN CHAN – JAPONÉS, Calle Batallón Colorados N° 98, Edif. El Cóndor, Centro, La Paz, Bolivia",Restaurante – Japonés,Centro,La Paz
254,HAKU SUSHI,"HAKU SUSHI, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Sushi,Zona Sur,La Paz
255,DELI SUSHI,"DELI SUSHI, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Sushi,Zona Sur,La Paz
256,CHABUCA – COCINA PERUANA,"CHABUCA – COCINA PERUANA, Av. Brasil N° 1624, Miraflores, Miraflores, La Paz, Bolivia",Restaurante – Peruano / Mariscos,Miraflores,La Paz
257,SACH'A YUNTAS – NIKKEI,"SACH'A YUNTAS – NIKKEI, Calle Enrique Costas, Zona Sur, La Paz, Bolivia",Restaurante – Peruano Nikkei,Zona Sur,La Paz
258,PALADAR COZINHA BRASILEIRA,"PALADAR COZINHA BRASILEIRA, Av. Saavedra N° 1948, Miraflores / Av. Montenegro N° 858, San Miguel, Miraflores / San Miguel, La Paz, Bolivia",Restaurante – Brasileño (2 sucursales),Miraflores / San Miguel,La Paz
259,RINCÓN ESPAÑOL,"RINCÓN ESPAÑOL, Calle Hermanos Manchego N° 2550, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Español,Sopocachi,La Paz
260,LA SUISSE,"LA SUISSE, Av. Muñoz Reyes N° 1710, Cota Cota, Cota Cota, La Paz, Bolivia",Restaurante – Suizo / Europeo,Cota Cota,La Paz
261,RESTAURANT VIENNA,"RESTAURANT VIENNA, Calle Federico Zuazo N° 1905, Centro, La Paz, Bolivia",Restaurante – Austriaco / Internacional,Centro,La Paz
262,LA CUEVA – MEXICANO,"LA CUEVA – MEXICANO, Calle Tarija esq. Murillo, Centro, La Paz, Bolivia",Restaurante – Mexicano,Centro,La Paz
263,VINAPHO – COCINA ASIÁTICA,"VINAPHO – COCINA ASIÁTICA, Calle Murillo N° 826, Centro, La Paz, Bolivia",Restaurante – Vietnamita / Tailandés,Centro,La Paz
264,BOM KOREAN FOOD,"BOM KOREAN FOOD, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Coreano,Zona Sur,La Paz
265,SUMAQ MIKHUY – COCINA NACIONAL,"SUMAQ MIKHUY – COCINA NACIONAL, Calle 11 de Calacoto N° 8025, Calacoto, La Paz, Bolivia",Restaurante – Comida Boliviana,Calacoto,La Paz
266,EL MOTACÚ – COCINA CRUCEÑA,"EL MOTACÚ – COCINA CRUCEÑA, Av. Saavedra N° 1513, Miraflores, Miraflores, La Paz, Bolivia",Restaurante – Comida del Oriente,Miraflores,La Paz
267,SUCREMANTA – COCINA CHUQUISAQUEÑA,"SUCREMANTA – COCINA CHUQUISAQUEÑA, Av. Sánchez Lima N° 490, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Comida de Sucre,Sopocachi,La Paz
268,ROYAL CHICKEN,"ROYAL CHICKEN, Calle 17 N° 6301, Obrajes, Obrajes, La Paz, Bolivia",Restaurante – Pollos,Obrajes,La Paz
269,CHICHARRONES IRPAVI,"CHICHARRONES IRPAVI, Calle 10 N° 6429, Irpavi, Irpavi, La Paz, Bolivia",Restaurante – Chicharronería,Irpavi,La Paz
270,API HAPPY – CADENA DE API,"API HAPPY – CADENA DE API, Av. García Lanza esq. Calle 10, Achumani, Achumani / Obrajes / Centro, La Paz, Bolivia",Cafetería – Api y Pasteles (3 suc.),Achumani / Obrajes / Centro,La Paz
271,SUMA URU – RADISSON,"SUMA URU – RADISSON, Av. Arce N° 2177, Hotel Radisson, Sopocachi, La Paz, Bolivia",Restaurante – Hotel Internacional,Sopocachi,La Paz
272,WACATAY – RESTAURANTE,"WACATAY – RESTAURANTE, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Andino Contemporáneo,Zona Sur,La Paz
273,HIGHLANDERS – RESTOBAR,"HIGHLANDERS – RESTOBAR, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Internacional / Restobar,Zona Sur,La Paz
274,LA BASTILLE – FRANCÉS,"LA BASTILLE – FRANCÉS, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Francés,Zona Sur,La Paz
275,ALTAMAR – MARISCOS,"ALTAMAR – MARISCOS, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Mariscos,Zona Sur,La Paz
276,ROJO – RESTAURANTE,"ROJO – RESTAURANTE, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Contemporáneo,Zona Sur,La Paz
277,FELLAS – RESTOBAR,"FELLAS – RESTOBAR, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – Restobar,Zona Sur,La Paz
278,ALTURA – RESTAURANTE,"ALTURA – RESTAURANTE, Zona Sur, Zona Sur, La Paz, Bolivia",Restaurante – De Autor,Zona Sur,La Paz
279,GARITA – RESTAURANTE,"GARITA – RESTAURANTE, La Paz, La Paz, Bolivia",Restaurante – Boliviano Contemporáneo,La Paz,La Paz
280,CAFÉ DEL MUNDO,"CAFÉ DEL MUNDO, Calle Sagárnaga N° 213, Rosario / Centro, La Paz, Bolivia",Cafetería – Internacional,Rosario / Centro,La Paz
281,NAMAS TE – INTERNACIONAL,"NAMAS TE – INTERNACIONAL, Zona Centro, Centro, La Paz, Bolivia",Restaurante – Internacional Vegetariano,Centro,La Paz
282,ZOOTOPIA – COMIDA CHINA,"ZOOTOPIA – COMIDA CHINA, Calle Belisario Salinas N° 390, Sopocachi Bajo, Sopocachi, La Paz, Bolivia",Restaurante – Chino,Sopocachi,La Paz
283,GATO'S GRILL,"GATO'S GRILL, Calle Pedro Salazar, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Parrilla / Grill,Sopocachi,La Paz
284,LA CAPITAL – HAMBURGUESAS Y ALITAS,"LA CAPITAL – HAMBURGUESAS Y ALITAS, Sopocachi, Sopocachi, La Paz, Bolivia",Restaurante – Hamburguesas / Alitas,Sopocachi,La Paz
285,PACEÑA LA SALTEÑA – OFICINA CENTRAL,"PACEÑA LA SALTEÑA – OFICINA CENTRAL, Oficina central: Calle 19 de Calacoto, Edif. Las Dos Marías (suc: Miraflores Av. Brasil 1667, Centro Loayza 233, Sopocachi 20 de Octubre), Calacoto, La Paz, Bolivia",Salteñería – Cadena (5 suc.),Calacoto,La Paz
286,SALTEÑERÍA EL HORNITO,"SALTEÑERÍA EL HORNITO, Av. Busch N° 2027, Miraflores / Av. Ballivián N° 1375 e/ c.20-21, Calacoto, Miraflores / Calacoto, La Paz, Bolivia",Salteñería (3 locales),Miraflores / Calacoto,La Paz
287,SALTUCAS SALTEÑAS,"SALTUCAS SALTEÑAS, Casa matriz: Av. 6 de Agosto N° 2287, Sopocachi (suc: Av. Montenegro e/ c.21-22, San Miguel), Sopocachi / San Miguel, La Paz, Bolivia",Salteñería (2 suc.),Sopocachi / San Miguel,La Paz
288,SALTEÑERÍA COPACABANA,"SALTEÑERÍA COPACABANA, Av. Saavedra N° 1264, Miraflores, La Paz, Bolivia",Salteñería,Miraflores,La Paz
289,SALTEÑAS LUCIÉRNAGA,"SALTEÑAS LUCIÉRNAGA, Calle Panamá N° 1156, Miraflores, La Paz, Bolivia",Salteñería,Miraflores,La Paz
290,SALTEÑERÍA EL PÍCARO,"SALTEÑERÍA EL PÍCARO, Calle Fernando Guachalla esq. Ecuador, Sopocachi, La Paz, Bolivia",Salteñería,Sopocachi,La Paz
291,SALTEÑAS KORI,"SALTEÑAS KORI, Calle Panamá esq. EEUU N° 1504, Miraflores, La Paz, Bolivia",Salteñería y Pastelería,Miraflores,La Paz
292,SALTEÑAS POTOSINAS – CALACOTO,"SALTEÑAS POTOSINAS – CALACOTO, Calle 10 de Calacoto, Calacoto, La Paz, Bolivia",Salteñería,Calacoto,La Paz
293,ALEXANDER COFFEE – OFICINA CENTRAL,"ALEXANDER COFFEE – OFICINA CENTRAL, Oficina central: Calle Juan de Vargas N° 2370, Miraflores (suc: Prado 16 de Julio 1832, Av. 20 de Octubre 2463, Av. Arce 2631 Multicine, San Miguel c.21 y Montenegro 1336, aeropuerto), Miraflores, La Paz, Bolivia",Cafetería – Cadena (9 suc. LP),Miraflores,La Paz
294,VAINILLA COFFEE COMPANY – SAN MIGUEL,"VAINILLA COFFEE COMPANY – SAN MIGUEL, Calle Federico Ferrecio N° 1303 esq. René Moreno, San Miguel, San Miguel, La Paz, Bolivia",Cafetería-Bistró,San Miguel,La Paz
295,JUAN VALDEZ CAFÉ BOLIVIA – LA PAZ,"JUAN VALDEZ CAFÉ BOLIVIA – LA PAZ, Suc. Torres Mall: Av. Arce, Plaza Isabel la Católica / Suc. San Miguel, San Jorge / San Miguel, La Paz, Bolivia",Cafetería – Cadena Internacional,San Jorge / San Miguel,La Paz
296,CLUB DE TENIS LA PAZ,"CLUB DE TENIS LA PAZ, Av. Arequipa N° 8450, La Florida / Los Pinos, Los Pinos, La Paz, Bolivia",Club Social-Deportivo con Restaurante,Los Pinos,La Paz
297,LA PAZ GOLF CLUB – MALLASILLA,"LA PAZ GOLF CLUB – MALLASILLA, Zona Mallasilla s/n, Mallasilla, La Paz, Bolivia",Club Deportivo con Restaurante y Salones,Mallasilla,La Paz
298,CLUB HÍPICO LOS SARGENTOS,"CLUB HÍPICO LOS SARGENTOS, Av. Los Sargentos N° 1000 esq. Av. Costanera, Bajo Llojeta, Obrajes / Costanera, La Paz, Bolivia",Club Deportivo-Social con Restaurante,Obrajes / Costanera,La Paz
299,CÍRCULO DE OFICIALES DEL EJÉRCITO (COE),"CÍRCULO DE OFICIALES DEL EJÉRCITO (COE), Calle 16 N° 2150, Calacoto, Calacoto, La Paz, Bolivia",Club Institucional con Salones,Calacoto,La Paz
300,CLUB ALEMÁN LA PAZ (DEUTSCHER KLUB),"CLUB ALEMÁN LA PAZ (DEUTSCHER KLUB), Av. Omar Torrijos N° 32, Achumani, Achumani, La Paz, Bolivia",Club Social con Restaurante,Achumani,La Paz
301,CLUB DE LA PAZ,"CLUB DE LA PAZ, Sede central: Av. Mcal. Santa Cruz esq. Camacho (sede deportiva: c. Los Tumbos N° 80, Auquisamaña), Centro, La Paz, Bolivia",Club Social Tradicional con Banquetes,Centro,La Paz
302,AUTOMÓVIL CLUB BOLIVIANO,"AUTOMÓVIL CLUB BOLIVIANO, C. Gral. Inofuentes N° 7823, calle 13 esq. Av. Ballivián, Calacoto, Calacoto, La Paz, Bolivia",Club Social,Calacoto,La Paz
303,NEWREST BOLIVIA SOPORTE SRL,"NEWREST BOLIVIA SOPORTE SRL, Km 11 Carr. al Norte, Parque Empresarial, Santa Cruz (opera campamentos del altiplano paceño), Santa Cruz (opera altiplano), Santa Cruz, Bolivia",Catering Minero / Aéreo / Remoto,Santa Cruz (opera altiplano),Santa Cruz
304,CATERING GF BOLIVIA,"CATERING GF BOLIVIA, Urb. Europa, c. Madrid N° 21, 8° Anillo, Santa Cruz (atiende campamentos de todo el país), Santa Cruz (opera nacional), Santa Cruz, Bolivia",Catering Minero / Hospitalario / Aéreo,Santa Cruz (opera nacional),Santa Cruz
305,EMSERSO SA,"EMSERSO SA, Santa Cruz (opera campamentos a nivel nacional), Santa Cruz, Bolivia",Catering de Campamentos,Santa Cruz,Santa Cruz
306,AURES EVENTOS,"AURES EVENTOS, Urb. Las Praderas, calle 1 N° 186, La Paz, Bolivia",Catering y Banquetes,La Paz,La Paz
